PartName,Basis_Creafix,Creafix_Automata,space_machines,Mini_Machines,industrial_machines,Link
Lat 2,10,10,,2,,https://drive.google.com/file/d/1Bm3sMykA17jMWU7rNtMB_vGIZvyrOcU8/view?usp=sharing
Lat 2+1,8,8,,,,https://drive.google.com/file/d/1TfRJFOn8bLex-l4jESrFmuwLpGtIa3gq/view?usp=sharing
Lat 2+3,8,8,2,2,1,https://drive.google.com/file/d/1VyoKqFjUw9Kgsw_2Q9JMk0CXAnZqB5mK/view?usp=sharing
Lat 3,8,8,7,2,1,https://drive.google.com/file/d/12KETHNJIysH7IBctfQb9mimHs6uA-U1q/view?usp=sharing
Lat 4,10,10,3,2,4,https://drive.google.com/file/d/1sydsB3eZOy7ZHyKGrnLWzMWov6ZZzp7z/view?usp=sharing
Lat 5,,6,7,,2,https://drive.google.com/file/d/1GG1snItRvS_nZsp1SIeoE1tawKTEWIQs/view?usp=sharing
Lat 6,4,4,5,,,https://drive.google.com/file/d/1Cfwa1h_S8H2oshyHEqY1ur4SqNaA5mUO/view?usp=sharing
Lat 8,4,4,2,,3,https://drive.google.com/file/d/16HqB45u9HObvnmYQayr9UHH0raZZbDTP/view?usp=sharing
L 3,8,8,,,5,https://drive.google.com/file/d/1H7_WogacO-GsKroyOdnCZDtWfJSSdYOe/view?usp=sharing
L 5,4,4,1,,3,https://drive.google.com/file/d/1xUxH6FaEBq0BSYSTdHxyUSRdFJZNeE9M/view?usp=sharing
X 5,4,4,,,4,https://drive.google.com/file/d/1ZanQNKPPQCuUt8G5e3dEJTm1VZ1cM5RH/view?usp=sharing
3x3,4,4,,,5,https://drive.google.com/file/d/1W34oNupRbpDvDw5FhveNXhQ58Y9UxW66/view?usp=sharing
Boog,4,4,,,4,https://drive.google.com/file/d/11MK0MEnJberHEwg5quPcb2D9xlGNan-8/view?usp=sharing
Tandwiel 12,3,3,,,,https://drive.google.com/file/d/1dWlZj2JYHpgtwkrFIN8x4SZrTjGJknZ2/view?usp=sharing
Tandwiel 16,3,3,3,2,,https://drive.google.com/file/d/1KnhbkxpyPisO_J-NauH9Hkso4ghNsjK-/view?usp=sharing
